certain	298	0.059267
start	299	0.059198
tree	300	0.059138
soul	301	0.058781
fellow	302	0.058623
city	303	0.058513
bring	304	0.058455
care	305	0.058340
manner	306	0.058295
nature	307	0.058279
thousand	308	0.058064
receive	309	0.058053
wall	310	0.058038
general	311	0.057807
continue	312	0.057310
begin	313	0.056851
either	314	0.056691
meet	315	0.056074
doubt	316	0.055953
fell	317	0.055835
within	318	0.055811
ground	319	0.055701
town	320	0.055562
m	321	0.055530
women	322	0.055215
often	323	0.055160
large	324	0.054713
law	325	0.054708
o	326	0.054456
force	327	0.054257
play	328	0.054209
around	329	0.054136
sea	330	0.053970
therefore	331	0.053655
listen	332	0.053587
lost	333	0.053561
known	334	0.053125
fall	335	0.052868
cause	336	0.052815
marry	337	0.052671
wonder	338	0.052387
truth	339	0.052342
earth	340	0.051851
add	341	0.051657
strange	342	0.051520
learn	343	0.051413
rose	344	0.051316
story	345	0.051103
became	346	0.051035
red	347	0.050838
dress	348	0.050754
hard	349	0.050588
sense	350	0.050349
sent	351	0.050310
trouble	351	0.050310
kept	352	0.050189
held	353	0.049921
expect	354	0.049822
write	355	0.049076
prince	356	0.048868
paper	357	0.048853
road	358	0.048821
able	359	0.048795
desire	360	0.048769
age	361	0.048761
ten	362	0.048740
sleep	363	0.048708
act	364	0.048677
spirit	365	0.048477
sometimes	366	0.048440
husband	367	0.048422
clear	368	0.048412
line	369	0.048180
doctor	370	0.048052
mine	371	0.048039
war	372	0.047955
short	373	0.047590
daughter	374	0.047527
twenty	375	0.047261
sight	376	0.047038
across	377	0.046763
kill	378	0.046721
bear	379	0.046665
ready	380	0.046631
art	381	0.046505
hair	382	0.046429
longer	383	0.046361
happy	384	0.046353
touch	385	0.046269
saying	386	0.046209
possible	387	0.046203
subject	388	0.046122
save	389	0.045991
big	390	0.045985
office	391	0.045891
captain	392	0.045820
human	393	0.045686
past	394	0.045594
spoke	395	0.045560
sun	396	0.045337
met	397	0.045292
cold	398	0.045216
week	399	0.045077
ship	400	0.044854
certainly	401	0.044848
bad	402	0.044833
stay	403	0.044704
consider	404	0.044686
surprise	405	0.044638
raise	406	0.044491
silence	407	0.044292
several	408	0.044195
different	409	0.043701
number	410	0.043669
sister	411	0.043304
account	412	0.043252
pleasure	413	0.043008
blood	414	0.042813
ran	415	0.042540
shoulder	416	0.042362
month	417	0.042244
cut	418	0.041992
wind	419	0.041821
fine	420	0.041805
heaven	421	0.041477
notice	422	0.041319
strong	423	0.041246
